name,longitude,latitude
"001062 - Braham Street, Aldgate",-0.073537654,51.51423368
"200041 - Antill Road, Mile End",-0.037471,51.528224
"001023 - River Street , Clerkenwell",-0.109970527,51.52916347
"200078 - Aberfeldy Street, Poplar",-0.005659,51.513548
"200123 - Burdett Road, Mile End",-0.029138,51.516196
"300053 - Stephendale Road, Sands End",-0.190346493,51.46822047
"003430 - Central House, Aldgate",-0.07015,51.515231
"200144 - Sea Containers, South Bank",-0.10682363,51.508033
"200222 - Danvers Street, West Chelsea",-0.172078187,51.48256792
"002586 - Cloudesley Road, Angel",-0.109025404,51.53440868
"200079 - Ram Street, Wandsworth",-0.192165613,51.45752945
"001172 - Queen's Gate (South), South Kensington",-0.178433004,51.49247977
"200109 - Alpha Grove, Millwall",-0.022793,51.497304
"200082 - St. Mary & St. Michael Church, Stepney",-0.052099,51.51417
"000973 - Bethnal Green Road, Shoreditch",-0.074754872,51.52364804
"002698 - Aberdeen Place, St. John's Wood",-0.176268,51.524826
"200226 - Kingsway Southbound, Strand",-0.117774,51.513875
"001180 - Bourne Street, Belgravia",-0.1532331,51.490959
"003461 - Sloane Avenue, Knightsbridge",-0.167894973,51.4931848
"300060 - Brandon Street, Walworth",-0.0915489,51.489102
"001039 - Wapping High Street, Wapping",-0.06797,51.504904
"300095 - Michael Road, Walham Green",-0.189210466,51.47727637
